"Tritum_MageNewsLink.csv © 2013 TRITUM GmbH ( http://www.tritum.de )",""
"Trigger","Auslösen"
"Trigger Cron Actions Manually","Löse geplante Tätigkeiten manuell aus"
"Tritum","Tritum"
"MageNewsLink","MageNewsLink"
"Enable Module","Modul Aktiv"
"choose <em>disabled</em> to kill modules functionality","<em>Deaktivieren</em> wählen um Modul still zu legen"
"Enable MageNewsLink Scheduler","Planer für MageNewsLink aktiv"
"Enable MageNewsLink Shell","Enable MageNewsLink Shell"
"choose <em>disabled</em> to disable modules scheduled action for MageNewsLink","<em>Deaktivieren</em> wählen um Planer für MageNewsLink auszusetzen"
"choose <em>disabled</em> to disable modules shell action for MageNewsLink","<em>Deaktivieren</em> wählen um Shell für MageNewsLink auszusetzen"
"default: <pre>*/10 * * * *</pre>","Vorgabe: <pre>*/10 * * * *</pre>"
"Scheduler Frequency","Frequenz des Planers"
"X-Tritum-Translation-Disabled Tritum Section","Tritum Bereich"
"Tritum MageNewsLink Section","Tritum MageNewsLink Bereich"
"Menu Tritum","Menü Tritum"
"Menu Tritum MageNewsLink Manual Trigger","Menü Tritum MageNewsLink manuelle Auslösung"
"Email Options","E-Mail Einstellungen"
"Send Emails To","Empfänger"
"Email Sender","E-Mail Absender"
"Email Template","E-Mail Vorlage"
"Tritum MageNewsLink Contents","Tritum MageNewsLink Inhalte"
"Tritum MageNewsLink default Block","Tritum MageNewsLink defaultblock"
